listing_id,mls_number,address,neighborhood,city,state,zip_code,price,bedrooms,bathrooms,sqft,year_built,property_type,listing_status,date_listed,last_updated,days_on_market,description,features,owner_name,owner_phone
MLS-100061,A11116303,5788 NE 191st Street,Coconut Grove,Miami,FL,33133,2051000,4,5.0,2647,2003,Villa,Active Under Contract,2026-03-02,2026-03-06,110,"Stunning Coconut Grove villa with balcony, pool, marble floors. Move-in ready. urban living enthusiasts.",Balcony; Pool; Marble Floors; Gated Community,Ana Brown,305-680-9767
MLS-100062,A82109613,8966 Lincoln Road,Mid-Beach,Miami Beach,FL,33140,1798000,5,2.0,3490,1984,Single Family,Active,2026-01-02,2026-01-12,169,"Charming single family located in Mid-Beach. Highlights: gym, rooftop, concierge.",Gym; Rooftop; Concierge; Pet Friendly; Private Beach Access; Home Office,David Hernandez,305-321-3924
MLS-100063,A83832717,7808 Fisher Island Drive,Downtown Miami,Miami,FL,33130,1068000,6,4.0,3199,2015,Multi-Family,Active,2026-05-23,2026-05-30,28,"Rare opportunity in Downtown Miami! This multi-family offers doorman, terrace, tennis court. Don't miss out.",Doorman; Terrace; Tennis Court; Garage; Private Beach Access,Patricia Diaz,305-495-7561
MLS-100064,A87496999,7874 Washington Avenue,North Miami,Miami,FL,33181,555000,3,1.5,2042,2007,Condo,Active Under Contract,2026-03-22,2026-03-29,90,"Rare opportunity in North Miami! This condo offers hurricane impact windows, solar panels, ocean view. Don't miss out.",Hurricane Impact Windows; Solar Panels; Ocean View; Gated Community; Marble Floors; Balcony,Sarah Taylor,305-219-4412
MLS-100065,A99949389,1391 Hibiscus Drive,Bal Harbour,Miami,FL,33154,1200000,3,2.5,1471,1988,Townhouse,Active,2026-04-02,2026-04-03,79,"Rare opportunity in Bal Harbour! This townhouse offers private beach access, garage, concierge. Don't miss out.",Private Beach Access; Garage; Concierge; Walk-in Closet,Emily Hernandez,305-563-4432
MLS-100066,A15355917,8021 Pine Tree Drive,Brickell,Miami,FL,33131,1032000,4,5.0,3218,1997,Single Family,Active Under Contract,2026-03-13,2026-03-16,99,"Rare opportunity in Brickell! This single family offers tennis court, granite countertops, marble floors. Don't miss out.",Tennis Court; Granite Countertops; Marble Floors,Daniel Diaz,305-665-1760
MLS-100067,A68646621,"705 Old Cutler Road, Miami, FL 33172",Doral,Miami,FL,33172,380000,0,1.5,242,2009,Condo,Active,2026-02-04,2026-02-10,136,"Beautiful condo in the heart of Doral. Features include smart home, walk-in closet, ocean view. Perfect for investors.",Smart Home; Walk-in Closet; Ocean View; Wine Cellar; Boat Dock; Granite Countertops; Balcony,Luis Perez,305-327-7029
MLS-100068,A38712948,1805 Granada Boulevard,Key Biscayne,Miami,FL,33149,3397000,4,2.0,2316,1990,Condo,Active,2026-01-30,2026-02-08,141,"Luxurious condo in prestigious Key Biscayne. Comes with hurricane impact windows, gym, terrace. Ideal for first-time buyers.",Hurricane Impact Windows; Gym; Terrace; High Ceilings; Private Beach Access; Rooftop,Luis Gonzalez,305-776-9939
MLS-100069,A84016756,7539 Ocean Drive,Aventura,Miami,FL,33180,2000000,5,4.5,3344,2023,Villa,Active,2026-03-14,2026-03-23,98,"Luxurious villa in prestigious Aventura. Comes with terrace, solar panels, bay view. Ideal for retirees.",Terrace; Solar Panels; Bay View; Tennis Court,Robert Moore,305-899-9151
MLS-100070,A99514287,2747 Bay Harbor Terrace,Coral Gables,Miami,FL,33134,1640000,5,4.0,3092,1988,Villa,Active,2026-01-27,2026-01-27,144,"Rare opportunity in Coral Gables! This villa offers central ac, high ceilings, updated kitchen. Don't miss out.",Central AC; High Ceilings; Updated Kitchen; Doorman; Ocean View,Maria Hernandez,305-415-5088
MLS-100071,A52980983,3213 Sunset Drive #733,Edgewater,Miami,FL,33137,1752000,5,4.0,2606,2011,Multi-Family,Active,2026-03-25,2026-03-29,87,"Charming multi-family located in Edgewater. Highlights: pet friendly, high ceilings, boat dock.",Pet Friendly; High Ceilings; Boat Dock; Gym; Balcony; Walk-in Closet,Elena Anderson,305-300-8692
MLS-100072,A76800348,2538 Ocean Drive,Doral,Miami,FL,33172,419673,4,2.5,2291,1994,Townhouse,Active,2025-03-25,2025-04-24,452,Wonderful property in Doral.,Rooftop; Concierge; Central AC; Pool,William Diaz,305-689-8144
MLS-100073,A31738712,1312 NE 2nd Avenue,Pinecrest,Miami,FL,33156,1211671,3,2.5,2562,1991,Townhouse,Active,2025-02-23,2025-03-25,482,Wonderful property in Pinecrest.,Gated Community; Walk-in Closet; Hardwood Floors; Pet Friendly,Juan Diaz,305-405-7432
MLS-100074,A98369672,6845 Bay Harbor Terrace,Brickell,Miami,FL,33131,520000,1,1.0,743,2020,Condo,Active,2026-03-09,2026-03-14,103,"Stunning Brickell condo with terrace, home office, updated kitchen. Move-in ready. families.",Terrace; Home Office; Updated Kitchen; Stainless Steel Appliances; Walk-in Closet; Boat Dock,Sarah Brown,305-997-1439
MLS-100075,A11980765,1890 NW 41st Street,Pinecrest,Miami,FL,33156,950000,2,2.5,1459,1996,Condo,Active,2026-04-05,2026-04-12,76,"Charming condo located in Pinecrest. Highlights: private beach access, hurricane impact windows, bay view.",Private Beach Access; Hurricane Impact Windows; Bay View; Pet Friendly,Sofia Garcia,305-867-9856
MLS-100076,A32457056,2845 Bay Road,Brickell,Miami,FL,33131,940000,8,3.0,3481,1988,Multi-Family,Active,2026-03-27,2026-04-01,85,"Luxurious multi-family in prestigious Brickell. Comes with garden, walk-in closet, waterfront. Ideal for investors.",Garden; Walk-in Closet; Waterfront; Boat Dock; Concierge,Ana Moore,305-661-7782
MLS-100077,A63118906,9494 Euclid Avenue,Key Biscayne,Miami,FL,33149,1348000,6,3.0,3014,2013,Multi-Family,Active,2026-05-03,2026-05-12,48,"Luxurious multi-family in prestigious Key Biscayne. Comes with gated community, garden, gym. Ideal for professionals.",Gated Community; Garden; Gym; Bay View; Doorman; Garage,Antonio Davis,305-736-2288
MLS-100078,A99927658,6632 Jefferson Avenue,Doral,Miami,FL,33172,1099000,4,3.5,2968,2005,Single Family,Active,2026-05-07,2026-05-17,44,"Rare opportunity in Doral! This single family offers bay view, hurricane impact windows, gated community. Don't miss out.",Bay View; Hurricane Impact Windows; Gated Community; Rooftop; Private Beach Access; Doorman,David Taylor,305-261-6400
MLS-100079,A87701200,5238 Lincoln Road,South Beach,Miami Beach,FL,33139,1744000,5,4.0,3840,2000,Single Family,Pending,26-May-2026,28-May-2026,25,"Stunning South Beach single family with waterfront, bay view, tennis court. Move-in ready. urban living enthusiasts.",Waterfront; Bay View; Tennis Court,Daniel Smith,305-783-5033
MLS-100080,A36801295,1943 Jefferson Avenue,Mid-Beach,Miami Beach,FL,33140,1238000,6,5.0,2795,2022,Multi-Family,Active Under Contract,2025-12-30,2025-12-30,172,"Charming multi-family located in Mid-Beach. Highlights: hardwood floors, gym, waterfront.",Hardwood Floors; Gym; Waterfront; Gated Community; Home Office,David Anderson,305-245-4825
